date,action,price,shares,amount,gain_pct
2023-07-28,SELL,193.3004913330078,337.1060931555983,65162.77343832785,30.325546876655668
2023-08-17,BUY,171.98440551757812,339.19517279889027,58336.28014824933,15.953982055437738
2023-12-08,SELL,193.69778442382812,337.21054713776283,65316.93586493152,30.593406720023964
2024-03-04,BUY,173.5207977294922,341.1381414639818,59194.56244278648,16.989836407663812
2024-06-04,SELL,192.8584442138672,337.4069268540738,65071.774980058755,30.027513322007305
2024-06-13,SELL,212.5957794189453,320.5365805113701,68144.72416609824,43.33466524257997
2024-10-21,SELL,234.93670654296875,304.5097514858016,71540.51812429211,58.39719056308692
2025-03-13,BUY,208.7700958251953,341.4243664300636,71279.19769666098,40.75534274270291
2025-04-04,BUY,187.56253051757812,345.3895808565372,64782.143799857775,26.456943770316844
2025-04-08,BUY,171.67178344726562,347.4042163306578,59639.501394583705,15.743208445923216
2025-04-09,SELL,197.98709106445312,340.9951720923745,67512.64218959182,33.485309527958876
2025-08-07,SELL,219.3624725341797,323.9454134877558,71061.46686878131,47.89685220189906
2025-09-19,SELL,245.032958984375,307.74814281336796,75408.43805550557,65.2042069951572
2025-10-30,SELL,270.8836669921875,292.36073567269955,79195.7481635545,82.6330693587968
