date,action,price,shares,amount,change_pct
2023-05-16,SELL,118.61380004882812,552.9336803568151,65585.56500210591,31.1711300042118
2023-07-26,SELL,128.30059814453125,552.9336803568151,70941.72192403642,41.88344384807283
2023-09-11,SELL,135.89321899414062,552.9336803568151,75139.93771396483,50.27987542792963
2024-01-19,SELL,145.2823028564453,552.9336803568151,80331.47840912774,60.66295681825545
2024-04-01,SELL,154.32400512695312,552.9336803568151,85330.94012225019,70.66188024450037
2024-04-26,SELL,170.6605224609375,552.9336803568151,94363.95077594309,88.72790155188613
2024-05-16,SELL,172.87380981445312,552.9336803568151,95587.75189800966,91.17550379601931
2024-06-25,SELL,182.8595733642578,552.9336803568151,101109.2168887761,102.21843377755219
2024-07-10,SELL,189.96408081054688,552.9336803568151,105037.53833817512,110.07507667635022
2025-01-24,SELL,199.428955078125,552.9336803568151,110270.9861010616,120.54197220212318
2025-08-25,SELL,208.1675262451172,552.9336803568151,115102.83641748654,130.20567283497306
2025-09-03,SELL,230.30323791503906,552.9336803568151,127342.41693845375,154.68483387690745
2025-09-09,SELL,239.47335815429688,552.9336803568151,132412.8852716611,164.82577054332214
2025-09-15,SELL,251.44552612304688,552.9336803568151,139032.70016847202,178.06540033694395
2025-09-19,SELL,254.55349731445312,552.9336803568151,140751.2021177792,181.5024042355584
2025-10-27,SELL,269.0939636230469,552.9336803568151,148791.11566789422,197.58223133578844
2025-10-29,SELL,274.3905334472656,552.9336803568151,151719.76751406636,203.43953502813267
2025-10-30,SELL,281.2960205078125,552.9336803568151,155538.0438891109,211.07608777822176
2025-11-10,SELL,289.9103698730469,552.9336803568151,160301.20778750934,220.60241557501863
2025-11-21,SELL,299.464111328125,552.9336803568151,165583.79321144318,231.16758642288627
