date,action,price_hkd,shares,amount_rmb,cash,total_shares
2023-03-13,BUY,336.4952087402344,100,33649.52087402344,966350.4791259766,100
2023-03-23,BUY,366.5533752441406,100,36655.33752441406,929695.1416015625,200
2023-09-21,BUY,297.8053894042969,100,29780.538940429688,899914.6026611328,300
2024-09-25,BUY,401.8917236328125,100,40189.17236328125,859725.4302978516,400
2024-10-02,BUY,465.9327087402344,100,46593.27087402344,813132.1594238281,500
2025-08-13,SELL,586.0,100,58600.0,871732.1594238281,400
2025-08-14,SELL,590.0,100,59000.0,930732.1594238281,300
2025-08-22,SELL,600.0,100,60000.0,990732.1594238281,200
2025-08-25,SELL,614.5,100,61450.0,1052182.1594238281,100
2025-09-09,SELL,627.0,100,62700.0,1114882.1594238281,0
