date,action,price_hkd,shares,amount_rmb,cash,total_shares
2025-08-13,SELL,586.0,100,58600.0,58600.0,2871.810516244153
2025-08-14,SELL,590.0,100,59000.0,117600.0,2771.810516244153
2025-08-22,SELL,600.0,100,60000.0,177600.0,2671.810516244153
2025-08-25,SELL,614.5,100,61450.0,239050.0,2571.810516244153
2025-09-09,SELL,627.0,100,62700.0,301750.0,2471.810516244153
2025-09-10,SELL,633.5,100,63350.0,365100.0,2371.810516244153
2025-09-12,SELL,643.5,100,64350.0,429450.0,2271.810516244153
2025-09-17,SELL,661.5,100,66150.0,495600.0,2171.810516244153
2025-09-25,SELL,650.0,100,65000.0,560600.0,2071.810516244153
2025-10-02,SELL,676.5,100,67650.0,628250.0,1971.810516244153
