date,action,price,shares,amount,gain,cash,position
2023-07-28,SELL,193.3004913330078,337.1061278359357,65162.780142054115,+30.3%,65162.780142054115,6405.016428882777
2023-08-17,BUY,171.98440551757812,339.19520769414515,58336.286149689,+16.0%,6826.493992365118,6744.2116365769225
2023-12-08,SELL,193.69778442382812,337.21058182884616,65316.9425845175,+30.6%,72143.43657688261,6407.001054748076
2024-03-04,BUY,173.52081298828125,341.13817473109077,59194.57342067721,+17.0%,12948.8631562054,6748.139229479167
2024-06-04,SELL,192.8584442138672,337.40696147395835,65071.78165679583,+30.0%,78020.64481300123,6410.732268005208
2024-06-13,SELL,212.59576416015625,320.5366134002604,68144.72626713694,+43.3%,146165.37108013817,6090.195654604948
2024-10-21,SELL,234.93670654296875,304.5097827302474,71540.52546475931,+58.4%,217705.89654489746,5785.685871874701
2025-03-13,BUY,208.77008056640625,341.42440293178,71279.20010740486,+40.8%,146426.69643749262,6127.11027480648
2025-04-04,BUY,187.56253051757812,345.3896150700056,64782.15021702249,+26.5%,81644.54622047013,6472.499889876486
2025-04-08,BUY,171.67178344726562,347.40425063627305,59639.507283889856,+15.7%,22005.038936580277,6819.904140512759
2025-04-09,SELL,197.98709106445312,340.99520702563797,67512.64910592703,+33.5%,89517.6880425073,6478.908933487121
2025-08-07,SELL,219.3624725341797,323.9454466743561,71061.47414867602,+47.9%,160579.1621911833,6154.963486812765
2025-09-19,SELL,245.032958984375,307.7481743406383,75408.4457807259,+65.2%,235987.60797190922,5847.215312472127
2025-10-30,SELL,270.8836669921875,292.36076562360637,79195.75627676597,+82.6%,315183.3642486752,5554.854546848521
